context	label	xmax2	xmin2	word_intervals	word	xmax	xmin	ID	number
CVC	v799	3.984774543706988	3.9076552577039383	1	06-08-19-F1-khavang.WAV	18.6986666666667	-0	1	F1-799
CVC	v800	5.472072631829746	5.408048712043537	1	06-08-19-F1-khavang.WAV	18.6986666666667	-0	2	F1-800
CVC	v801	6.9178548149330465	6.8468830984493305	1	06-08-19-F1-khavang.WAV	18.6986666666667	-0	3	F1-801
CVC	v802	8.507899283732327	8.442224458801581	1	06-08-19-F1-khavang.WAV	18.6986666666667	-0	4	F1-802
CVː_#	v803	22.37224558854209	22.128038652311133	2	06-08-19-F1-thaa.WAV	31.4893333333333	18.6986666666667	5	F1-803
CVː_#	v804	24.53067256491349	24.23072462440511	2	06-08-19-F1-thaa.WAV	31.4893333333333	18.6986666666667	6	F1-804
CVː_#	v805	26.357925266887158	26.14584665518811	2	06-08-19-F1-thaa.WAV	31.4893333333333	18.6986666666667	7	F1-805
CVː_#	v806	28.985147907559504	28.773672160121905	2	06-08-19-F1-thaa.WAV	31.4893333333333	18.6986666666667	8	F1-806
CVːC	v807	40.5549280808793	40.40317142228901	3	06-08-19-F1-thaake.WAV	50.636	31.4893333333333	9	F1-807
CVːC	v808	42.789815158069594	42.61254493728033	3	06-08-19-F1-thaake.WAV	50.636	31.4893333333333	10	F1-808
CVːC	v809	47.30735576865094	47.16410469655072	3	06-08-19-F1-thaake.WAV	50.636	31.4893333333333	11	F1-809
CVC	v810	56.077061960058415	55.99482518635333	4	06-08-19-F1-thetivaake.WAV	64.592	50.636	12	F1-810
Cṽ_#	v580	69.15008518638626	68.97637863671156	5	06-08-19-F1-chî.WAV	75.888	64.592	13	F1-580
Cṽ_#	v581	71.13524083734264	70.9389377856129	5	06-08-19-F1-chî.WAV	75.888	64.592	14	F1-581
Cṽ_#	v582	73.19125517425424	72.9981436371981	5	06-08-19-F1-chî.WAV	75.888	64.592	15	F1-582
Cṽ_#	v583	74.63743843680322	74.46691181663817	5	06-08-19-F1-chî.WAV	75.888	64.592	16	F1-583
CṽC	v584	81.10767322989628	80.73076854387784	6	06-08-19-F1-chôôt.WAV	86.9066666666667	75.888	17	F1-584
CṽC	v585	82.74980677922585	82.40665939463298	6	06-08-19-F1-chôôt.WAV	86.9066666666667	75.888	18	F1-585
CṽC	v586	84.55504903645922	84.20842053575987	6	06-08-19-F1-chôôt.WAV	86.9066666666667	75.888	19	F1-586
CṽC	v587	85.81021161872356	85.62139455814025	6	06-08-19-F1-chôôt.WAV	86.9066666666667	75.888	20	F1-587
CṽC	v588	90.44822835501984	90.28523887014939	7	06-08-19-F1-khâ ko xhitea.WAV	100.8253333333333	86.9066666666667	21	F1-588
CṽC	v589	92.91210668106368	92.7395837380613	7	06-08-19-F1-khâ ko xhitea.WAV	100.8253333333333	86.9066666666667	22	F1-589
CṽC	v590	95.07517763286006	94.942834238373507	7	06-08-19-F1-khâ ko xhitea.WAV	100.8253333333333	86.9066666666667	23	F1-590
CṽC	v591	98.21700755802685	98.11009412955914	7	06-08-19-F1-khâ ko xhitea.WAV	100.8253333333333	86.9066666666667	24	F1-591
Cṽ_#	v592	106.34939936608338	105.98102914101587	8	06-08-19-F1-khâ.WAV	114.84	100.8253333333333	25	F1-592
Cṽ_#	v593	108.07052846856719	107.71942566923516	8	06-08-19-F1-khâ.WAV	114.84	100.8253333333333	26	F1-593
Cṽ_#	v594	109.99881360131175	109.639731192904	8	06-08-19-F1-khâ.WAV	114.84	100.8253333333333	27	F1-594
Cṽ_#	v595	112.4104919614947	112.17751592303867	8	06-08-19-F1-khâ.WAV	114.84	100.8253333333333	28	F1-595
CṽːnC	v596	118.9802589066792	118.77440008701797	9	06-08-19-F1-khââdo.WAV	126.9746666666667	114.84	29	F1-596
