stimuli,vowel,translation,comments,context,number
khavang,a,le crabe de palétuvier,NA,CVC,F1-799
khavang,a,le crabe de palétuvier,NA,CVC,F1-800
khavang,a,le crabe de palétuvier,NA,CVC,F1-801
khavang,a,le crabe de palétuvier,NA,CVC,F1-802
thaa,aː ,attacher,NA,CVː_#,F1-803
thaa,aː ,attacher,NA,CVː_#,F1-804
thaa,aː ,attacher,NA,CVː_#,F1-805
thaa,aː ,attacher,NA,CVː_#,F1-806
thaake,aː ,"traîner, tirer qqc de lourd",NA,CVːC,F1-807
thaake,aː ,"traîner, tirer qqc de lourd",NA,CVːC,F1-808
thaake,aː ,"traîner, tirer qqc de lourd",NA,CVːC,F1-809
thetivaake,e,cacher,NA,CVːC,F1-810
chî,ĩ,la langue paici,NA,Cṽ_#,F1-580
chî,ĩ,la langue paici,NA,Cṽ_#,F1-581
chî,ĩ,la langue paici,NA,Cṽ_#,F1-582
chî,ĩ,la langue paici,NA,Cṽ_#,F1-583
chôôt,õː,objet de coutume,NA,CṽːC,F1-584
chôôt,õː,objet de coutume,NA,CṽːC,F1-585
chôôt,õː,objet de coutume,NA,CṽːC,F1-586
chôôt,õː,objet de coutume,NA,CṽːC,F1-587
khâ ko xhitea,ã,gémir de douleur,NA,CṽC,F1-588
khâ ko xhitea,ã,gémir de douleur,NA,CṽC,F1-589
khâ ko xhitea,ã,gémir de douleur,NA,CṽC,F1-590
khâ ko xhitea,ã,gémir de douleur,NA,CṽC,F1-591
khâ,ã,"coutume de naissance, le premier cri d'un bébé",NA,Cṽ_#,F1-592
khâ,ã,"coutume de naissance, le premier cri d'un bébé",NA,Cṽ_#,F1-593
khâ,ã,"coutume de naissance, le premier cri d'un bébé",NA,Cṽ_#,F1-594
khâ,ã,"coutume de naissance, le premier cri d'un bébé",NA,Cṽ_#,F1-595
khââdo,ãː,le mais,NA,CṽːnC,F1-596
khââdo,ãː,le mais,NA,CṽːnC,F1-597
khââdo,ãː,le mais,NA,CṽːnC,F1-598
khââdo,ãː,le mais,NA,CṽːnC,F1-599
khâânyoon,ãː,"voix rauque, muer",NA,CṽːN,F1-600
khâânyoon,ãː,"voix rauque, muer",NA,CṽːN,F1-601
khâânyoon,ãː,"voix rauque, muer",NA,CṽːN,F1-602
khâânyoon,ãː,"voix rauque, muer",NA,CṽːN,F1-603
khêkhê,ẽ,le perroquet,NA,CṽC,F1-604
khêkhê,ẽ,le perroquet,NA,Cṽ_#,F1-605
khêkhê,ẽ,le perroquet,NA,CṽC,F1-606
khêkhê,ẽ,le perroquet,NA,Cṽ_#,F1-607
khêkhê,ẽ,le perroquet,NA,CṽC,F1-608
khêkhê,ẽ,le perroquet,NA,Cṽ_#,F1-609
khêkhê,ẽ,le perroquet,NA,CṽC,F1-610
khêkhê,ẽ,le perroquet,NA,Cṽ_#,F1-611
khêt,ẽ,"la lame, le quartz",NA,CṽC,F1-612
khêt,ẽ,"la lame, le quartz",NA,CṽC,F1-613
khêt,ẽ,"la lame, le quartz",NA,CṽC,F1-614
khêt,ẽ,"la lame, le quartz",NA,CṽC,F1-615
khîî,ĩː,la poule sultane,NA,Cṽː_#,F1-616
khîî,ĩː,la poule sultane,NA,Cṽː_#,F1-617
khîî,ĩː,la poule sultane,NA,Cṽː_#,F1-618
