paragraph	chapter	sentences
42	I	I
43	I	DANS LEQUEL PHILEAS FOGG ET PASSEPARTOUT S'ACCEPTENT RÉCIPROQUEMENT L'UN COMME MAÎTRE, L'AUTRE COMME DOMESTIQUE
44	I	En l'année 1872, la maison portant le numéro 7 de Saville-row, Burlington Gardens--maison dans laquelle Sheridan mourut en 1814--, était habitée par Phileas Fogg, esq., l'un des membres les plus singuliers et les plus remarqués du Reform-Club de Londres, bien qu'il semblât prendre à tâche de ne rien faire qui pût attirer l'attention.
45	I	À l'un des plus grands orateurs qui honorent l'Angleterre, succédait donc ce Phileas Fogg, personnage énigmatique, dont on ne savait rien, sinon que c'était un fort galant homme et l'un des plus beaux gentlemen de la haute société anglaise.
46	I	On disait qu'il ressemblait à Byron--par la tête, car il était irréprochable quant aux pieds--, mais un Byron à moustaches et à favoris, un Byron impassible, qui aurait vécu mille ans sans vieillir.
47	I	Anglais, à coup sûr, Phileas Fogg n'était peut-être pas Londonner.
47	I	On ne l'avait jamais vu ni à la Bourse, ni à la Banque, ni dans aucun des comptoirs de la Cité.
47	I	Ni les bassins ni les docks de Londres n'avaient jamais reçu un navire ayant pour armateur Phileas Fogg.
47	I	Ce gentleman ne figurait dans aucun comité d'administration.
47	I	Son nom n'avait jamais retenti dans un collège d'avocats, ni au Temple, ni à Lincoln's-inn, ni à Gray's-inn.
47	I	Jamais il ne plaida ni à la Cour du chancelier, ni au Banc de la Reine, ni à l'Échiquier, ni en Cour ecclésiastique.
47	I	Il n'était ni industriel, ni négociant, ni marchand, ni agriculteur.
47	I	Il ne faisait partie ni de l'_Institution royale de la Grande-Bretagne_, ni de l'_Institution de Londres_, ni de l'_Institution des Artisans_, ni de l'_Institution Russell_, ni de l'_Institution littéraire de l'Ouest_, ni de l'_Institution du Droit_, ni de cette _Institution des Arts et des Sciences réunis_, qui est placée sous le patronage direct de Sa Gracieuse Majesté.
47	I	Il n'appartenait enfin à aucune des nombreuses sociétés qui pullulent dans la capitale de l'Angleterre, depuis la _Société de l'Armonica_ jusqu'à la _Société entomologique_, fondée principalement dans le but de détruire les insectes nuisibles.
48	I	Phileas Fogg était membre du Reform-Club, et voilà tout.
49	I	À qui s'étonnerait de ce qu'un gentleman aussi mystérieux comptât parmi les membres de cette honorable association, on répondra qu'il passa sur la recommandation de MM.
49	I	Baring frères, chez lesquels il avait un crédit ouvert.
49	I	De là une certaine «surface», due à ce que ses chèques étaient régulièrement payés à vue par le débit de son compte courant invariablement créditeur.
50	I	Ce Phileas Fogg était-il riche?
50	I	Incontestablement.
50	I	Mais comment il avait fait fortune, c'est ce que les mieux informés ne pouvaient dire, et Mr.
50	I	Fogg était le dernier auquel il convînt de s'adresser pour l'apprendre.
50	I	En tout cas, il n'était prodigue de rien, mais non avare, car partout où il manquait un appoint pour une chose noble, utile ou généreuse, il l'apportait silencieusement et même anonymement.
51	I	En somme, rien de moins communicatif que ce gentleman.
51	I	Il parlait aussi peu que possible, et semblait d'autant plus mystérieux qu'il était silencieux.
51	I	Cependant sa vie était à jour, mais ce qu'il faisait était si mathématiquement toujours la même chose, que l'imagination, mécontente, cherchait au-delà.
52	I	Avait-il voyagé?
52	I	C'était probable, car personne ne possédait mieux que lui la carte du monde.
52	I	Il n'était endroit si reculé dont il ne parût avoir une connaissance spéciale.
52	I	Quelquefois, mais en peu de mots, brefs et clairs, il redressait les mille propos qui circulaient dans le club au sujet des voyageurs perdus ou égarés; il indiquait les vraies probabilités, et ses paroles s'étaient trouvées souvent comme inspirées par une seconde vue, tant l'événement finissait toujours par les justifier.
52	I	C'était un homme qui avait dû voyager partout,--en esprit, tout au moins.
53	I	Ce qui était certain toutefois, c'est que, depuis de longues années, Phileas Fogg n'avait pas quitté Londres.
53	I	Ceux qui avaient l'honneur de le connaître un peu plus que les autres attestaient que--si ce n'est sur ce chemin direct qu'il parcourait chaque jour pour venir de sa maison au club--personne ne pouvait prétendre l'avoir jamais vu ailleurs.
53	I	Son seul passe-temps était de lire les journaux et de jouer au whist.
53	I	À ce jeu du silence, si bien approprié à sa nature, il gagnait souvent, mais ses gains n'entraient jamais dans sa bourse et figuraient pour une somme importante à son budget de charité.
53	I	D'ailleurs, il faut le remarquer, Mr.
53	I	Fogg jouait évidemment pour jouer, non pour gagner.
53	I	Le jeu était pour lui un combat, une lutte contre une difficulté, mais une lutte sans mouvement, sans déplacement, sans fatigue, et cela allait à son caractère.
54	I	On ne connaissait à Phileas Fogg ni femme ni enfants,--ce qui peut arriver aux gens les plus honnêtes,--ni parents ni amis,--ce qui est plus rare en vérité.
54	I	Phileas Fogg vivait seul dans sa maison de Saville-row, où personne ne pénétrait.
54	I	De son intérieur, jamais il n'était question.
54	I	Un seul domestique suffisait à le servir.
54	I	Déjeunant, dînant au club à des heures chronométriquement déterminées, dans la même salle, à la même table, ne traitant point ses collègues, n'invitant aucun étranger, il ne rentrait chez lui que pour se coucher, à minuit précis, sans jamais user de ces chambres confortables que le Reform-Club tient à la disposition des membres du cercle.
54	I	Sur vingt-quatre heures, il en passait dix à son domicile, soit qu'il dormît, soit qu'il s'occupât de sa toilette.
54	I	S'il se promenait, c'était invariablement, d'un pas égal, dans la salle d'entrée parquetée en marqueterie, ou sur la galerie circulaire, au-dessus de laquelle s'arrondit un dôme à vitraux bleus, que supportent vingt colonnes ioniques en porphyre rouge.
54	I	S'il dînait ou déjeunait, c'étaient les cuisines, le garde-manger, l'office, la poissonnerie, la laiterie du club, qui fournissaient à sa table leurs succulentes réserves; c'étaient les domestiques du club, graves personnages en habit noir, chaussés de souliers à semelles de molleton, qui le servaient dans une porcelaine spéciale et sur un admirable linge en toile de Saxe; c'étaient les cristaux à moule perdu du club qui contenaient son sherry, son porto ou son claret mélangé de cannelle, de capillaire et de cinnamome; c'était enfin la glace du club--glace venue à grands frais des lacs d'Amérique--qui entretenait ses boissons dans un satisfaisant état de fraîcheur.
55	I	Si vivre dans ces conditions, c'est être un excentrique, il faut convenir que l'excentricité a du bon!
56	I	La maison de Saville-row, sans être somptueuse, se recommandait par un extrême confort.
56	I	D'ailleurs, avec les habitudes invariables du locataire, le service s'y réduisait à peu.
56	I	Toutefois, Phileas Fogg exigeait de son unique domestique une ponctualité, une régularité extraordinaires.
56	I	Ce jour-là même, 2 octobre, Phileas Fogg avait donné son congé à James Forster--ce garçon s'étant rendu coupable de lui avoir apporté pour sa barbe de l'eau à quatre-vingt-quatre degrés Fahrenheit au lieu de quatre-vingt-six--, et il attendait son successeur, qui devait se présenter entre onze heures et onze heures et demie.
57	I	Phileas Fogg, carrément assis dans son fauteuil, les deux pieds rapprochés comme ceux d'un soldat à la parade, les mains appuyées sur les genoux, le corps droit, la tête haute, regardait marcher l'aiguille de la pendule,--appareil compliqué qui indiquait les heures, les minutes, les secondes, les jours, les quantièmes et l'année.
57	I	À onze heures et demie sonnant, Mr.
57	I	Fogg devait, suivant sa quotidienne habitude, quitter la maison et se rendre au Reform-Club.
